human_bin,smiles,proteinName,protein_dataset
0,C[C@H](CCC(=O)NCC(=O)O)C1CCC2[C@@]1(CCC3C2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)C,prot75,human
1,CCO,prot76,human
1,C1=CC=C2C=C(C=CC2=C1)NC(=O)[C@H](C3=CSC4=C3C=C(C=C4)Cl)P(=O)(O)O,prot44,human
1,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,prot77,human
0,CC(C)C(=O)OC[C@@H]1[C@H]([C@@H]([C@](O1)(COC(=O)C)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C)OC(=O)C(C)C)OC(=O)C(C)C)OC(=O)C(C)C)OC(=O)C(C)C)OC(=O)C(C)C,prot78,human
0,C[C@H]1CC[C@]2(C(C1(C)C)CCC3=C2CC[C@]4([C@]3(CC[C@@H]4[C@H](C)CCC(=C)C(C)C)C)C)C,prot79,human
0,[2H]C1=C(C(=C(C(=C1[2H])[2H])[C]([2H])[2H])[2H])[2H],prot80,human
1,C1C[C@@H]2N(C1)C(=O)C3=CC4=C(C=C3O2)OCCO4,prot81,human
0,CC1=C(C(=CC=C1)O)O,prot82,human
1,C1=NC2=C(N1)C(=NC=N2)N,prot83,human
0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC(=O)[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@H]([C@]5(C)C(=O)O)OC(=O)C)C)C)[C@@H]2[C@H]1C)C)C,prot84,human
1,C1CCCC(CC1)NCC(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N,prot85,human
0,CCCCCCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,prot86,human
1,C1C[C@H](NC1)CN,prot87,human
0,CC(C)NCC(C1=CC(=C(C=C1)O)OC)O,prot88,human
1,CC(C)[C@@H](C(=O)OC)NC(=O)CNC(=O)[C@H](CS)NCC1=CC=C(C=C1)C2=CC=CC=C2,prot89,human
1,C1=CC2=C(/C(=C/3\C4=C(C=C(C=C4)Br)NC3=O)/N=C2C=C1)NO,prot90,human
0,CC[C@H](C(=O)O)NCC1=C(C(=NC=C1COP(=O)(O)O)C)O,prot91,human
1,C1=CC=C(C=C1)C(CNC2=C(C(=C(C=C2)Cl)CC(=O)NCCON=C(N)N)F)(F)F,prot85,human
1,C[C@@H]([C@@H](CCC1=C(C(=CC=C1)Cl)Cl)N2C=C(N=C2)C(=O)N)O,prot93,human
1,C([C@@H](C(=O)O)N)SS,prot9,human
1,C1=CC2=C(NN=C2C(=C1)[N+](=O)[O-])Br,prot94,human
1,CCCCCCCCCCCC,prot9,human
0,C(CO)C(C(=O)O)O,prot56,human
1,C(C(CO)O)O,prot96,human
1,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,prot9,human
0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C,prot97,human
1,C(C(CO)O)O,prot98,human
0,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=C[C@@]56[C@]4(C[C@H]([C@@]7([C@H]5CC(CC7)(C)C)CO6)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,prot99,human
1,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,prot100,human
0,CC(C(=O)O)NC(=O)CN,prot101,human
0,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C,prot102,human
0,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,prot103,human
0,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,prot105,human
0,CCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O,prot92,human
1,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,prot106,human
0,CC(C)CN1C=NC2=C1C(=O)N(C(=O)N2C)C,prot107,human
0,CCC(C)N,prot108,human
0,CC(C(C1=CC=CC=C1)O)N(C)C,prot110,human
1,CC1=C(C(=C(C2=C1COC2=O)O)C/C=C(\C)/CCC(=O)O)OC,prot111,human
0,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N([C@@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N(C(C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C)CC(C)C)C)C,prot112,human
1,CCCCCC1=CC2=C([C@@H]3C=C(CC[C@H]3C(O2)(C)C)C)C(=C1)O,prot113,human
0,C[C@H](CCC(=O)NCCS(=O)(=O)O)C1CCC2[C@@]1(CCC3C2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)C,prot114,human
1,C[C@@]1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4,prot117,human
1,C1=CC\2=C(C=C1O)ON/C2=C\3/C=CC(=O)C=C3O,prot118,human
1,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,prot9,human
0,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,prot119,human
1,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,prot28,human
0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCCC5(C)C)C)C)C2C1)C)C)C,prot120,human
0,C(C1C2C(C(C(O1)OC3C(OC(C(C3OS(=O)(=O)O)OS(=O)(=O)O)OC4C(OC(C(C4OS(=O)(=O)O)OS(=O)(=O)O)OC5C(OC(C(C5OS(=O)(=O)O)OS(=O)(=O)O)OC6C(OC(C(C6OS(=O)(=O)O)OS(=O)(=O)O)OC7C(OC(C(C7OS(=O)(=O)O)OS(=O)(=O)O)OC8C(OC(C(C8OS(=O)(=O)O)OS(=O)(=O)O)OC9C(OC(O2)C(C9OS(=O)(=O)O)OS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)COS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O)OS(=O)(=O)O,prot121,human
1,CCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5=NC=CN=C5,prot122,human
1,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,prot123,human
0,C=C1CC[C@@H]2[C@@H]([C@@H]3[C@H]1CCC3=C)OC(=O)C2=C,prot124,human
0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCCC5(C)C)C)C)C2C1)C)C)C,prot125,human
1,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,prot126,human
0,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,prot127,human
1,C(CCN)CCN,prot3,human
1,C1C[C@H]([C@H](CNC1)NC(=O)C2=CC=C(C=C2)O)OC(=O)C3=CC(=C(C(=C3)O)C(=O)C4=C(C=CC=C4O)C(=O)O)O,prot128,human
1,C1[C@@H](N(CC2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)C(=O)O,prot89,human
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C,prot69,human
0,CC(=O)[C@]1(CCC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,prot129,human
1,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,prot130,human
1,CCCCCCCC(=O)O,prot131,human
0,CC\1CCC(C/C1=C/C=C/2\CCCC3(C2CCC3C(C)/C=C/C(C)C(C)C)C)O,prot132,human
0,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(CO)O)O)CO)O)O)O)O,prot133,human
0,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F,prot135,human
0,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O,prot137,human
1,C(C(CO)O)O,prot138,human
0,C/C(=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C(=O)OC)/C=C/C=C(\C)/C=C/C(=O)O,prot139,human
1,C1=CC(=CC=C1/C=C/C(=O)O)C(=O)O,prot140,human
0,C([C@H]([C@H]([C@H]([C@@H](C=O)O)O)O)O)O,prot141,human
1,CCSC(=NC1=CC=CC=C1)N,prot143,human
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C,prot145,human
1,C(C(CO)O)O,prot53,human
1,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC,prot146,human
1,COCCOCCOCCOCCO,prot147,human
1,C(C(CO)O)O,prot38,human
0,C[C@H](/C=C/[C@@H](C)C(C)C)C1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,prot148,human
0,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)OC)O)O)O,prot149,human
1,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,prot150,human
0,C[C@H]([C@H](CCC(=O)O)N)O,prot151,human
0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)CO,prot152,human
1,C(C(CO)O)O,prot153,human
1,CC(C)C[C@H](CC(=O)O)C(=O)N[C@H]1CC2=CN(CCCCCCNC1=O)C3=CC=CC=C23,prot154,human
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot155,human
0,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,prot156,human
1,C1=CN=C(N=C1)NC2=C3C=C(C=CC3=CC(=C2)C(=O)NC4=CC=C(C=C4)CN)C(=N)N,prot44,human
1,C([C@@H](C(=O)O)N)SO,prot158,human
0,C([C@H](C(=O)O)N)C(=O)O,prot159,human
0,CC(CCC(C)O)O,prot99,human
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot161,human
0,CCCCCC(/C=C/C1C(CC(C1C/C=C/CCCC(=O)O)O)O)O,prot163,human
1,CC1=CC=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)(C)C,prot164,human
1,CC(C)[C@H](CO)NC1=NC2=C(C(=N1)NC3=CC(=CC=C3)Cl)N=CN2C(C)C,prot9,human
1,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,prot28,human
1,C(C(CO)O)O,prot166,human
0,C1C(C[C@@H](C([C@H]1OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)(O)C(=O)O,prot167,human
1,OP(=O)(O)OP(=O)(O)OP(=O)(O)O,prot168,human
0,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H](C6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O,prot169,human
1,CS(=O)C,prot170,human
0,C1CCN(CC1)C2(CCN(CC2)CCCN3C4=CC=CC=C4CCC5=CC=CC=C53)C(=O)N,prot171,human
1,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,prot172,human
1,C(C(=O)O)C(=O)O,prot173,human
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=CC(=O)CC[C@]35C,prot174,human
0,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,prot175,human
1,C1CNCC2=C1C=CC(=C2)S(=O)(=O)NC3=CC=C(C=C3)Cl,prot176,human
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O,prot178,human
1,C(C(CO)O)O,prot179,human
0,CC1(C(=O)N(C(=O)O1)C)C,prot180,human
1,CCN1C2=NC(=NC=C2N=C1NC3=CC=CC=C3Cl)NC4=C(C=CC=C4F)F,prot9,human
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)O,prot181,human
0,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O,prot182,human
1,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,prot183,human
1,CCCCC1=C2C(=NC=CN2)NC1=C3C=CC(=O)C=C3,prot184,human
0,C[C@@H](CCC[C@@H](C)CCCC(C)C)CCC[C@@H](C)CC(=O)[O-],prot185,human
1,C(C(CO)O)O,prot186,human
0,C1[C@H]([C@@H]([C@H](C([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)OC3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,prot187,human
1,C(C(CO)O)O,prot188,human
1,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,prot28,human
0,CCCCCCC(C)(C)C1=CC(=C(C=C1)C2CC(CC[C@H]2CCCO)O)O,prot189,human
0,C1[C@@H](CN[C@@H]1C(=O)O)O,prot190,human
0,COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,prot191,human
1,C(C(CO)O)O,prot192,human
1,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,prot193,human
1,C[C@H]1CNCCN1S(=O)(=O)C2=CC=CC3=C2C=CN=C3,prot9,human
1,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,prot5,human
0,COC1C(C(C(C(O1)CO)O)O)O,prot197,human
1,C1=CC(=CC=C1C(=O)NCC2=CC(=C(C(=C2)F)F)F)S(=O)(=O)N,prot3,human
1,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,prot198,human
0,CC1[C@@H](C(C([C@H](O1)O[C@H]2C[C@H]([C@@]3(C4C(CC[C@@]3(C2)O)[C@]5(CCC([C@]5(CC4O)C)C6CC(=O)OC6)O)CO)O)O)O)O,prot199,human
0,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CCC6C5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,prot200,human
0,COC1C(C(C(C(O1)CO)O)O)O,prot201,human
1,CC(C)[C@H](CO)NC1=NC2=C(C(=N1)NC3=CC(=CC=C3)Cl)N=CN2C(C)C,prot9,human
1,C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCCNC4=CC=NC5=CC=CC=C54,prot202,human
1,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,prot28,human
0,C[C@H]1CCC2([C@@]3(CC4(C5(C([C@H](C3(C5(C2([C@@H]1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O,prot203,human
1,C(CSSC[C@@H](C(=O)O)N)O,prot204,human
0,O[P+](=O)O[P+](=O)O,prot205,human
0,C([C@@H]([C@@H]([C@@H](C=O)O)O)O)O,prot195,human
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,prot207,human
1,C([C@@H](C(=O)O)N)OP(=O)(O)O,prot210,human
1,C(C(CO)O)O,prot211,human
1,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,prot28,human
0,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O)O,prot212,human
0,C[C@H]([C@H](CCC(=O)O)N)O,prot213,human
0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,prot214,human
