drugbank_id,name,smiles
DB00115,Cyanocobalamin,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO
DB00116,Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
DB00117,Histidine,N[C@@H](CC1=CN=CN1)C(O)=O
DB00118,Ademetionine,[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O
DB00119,Pyruvic acid,CC(=O)C(O)=O
DB00120,L-Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O
DB00121,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB00122,Choline,C[N+](C)(C)CCO
DB00123,L-Lysine,NCCCC[C@H](N)C(O)=O
DB00125,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O
DB00126,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
DB00127,Spermine,NCCCNCCCCNCCCN
DB00128,Aspartic acid,N[C@@H](CC(O)=O)C(O)=O
DB00129,Ornithine,NCCC[C@H](N)C(O)=O
DB00130,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O
DB00131,Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB00132,Alpha-Linolenic Acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
DB00133,Serine,N[C@@H](CO)C(O)=O
DB00134,Methionine,CSCC[C@H](N)C(O)=O
DB00135,Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
DB00136,Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
DB00137,Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
DB00138,Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
DB00139,Succinic acid,OC(=O)CCC(O)=O
DB00140,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
DB00141,N-Acetylglucosamine,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00142,Glutamic Acid,N[C@@H](CCC(O)=O)C(O)=O
DB00143,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00144,Phosphatidyl serine,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O
DB00145,Glycine,NCC(O)=O
DB00146,Calcifediol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00147,Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O
DB00148,Creatine,CN(CC(O)=O)C(N)=N
DB00149,L-Leucine,CC(C)C[C@H](N)C(O)=O
DB00150,L-Tryptophan,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
DB00151,L-Cysteine,N[C@@H](CS)C(O)=O
DB00152,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
DB00153,Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00154,Dihomo-gamma-linolenic acid,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
DB00155,L-Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O
DB00156,L-Threonine,C[C@@H](O)[C@H](N)C(O)=O
DB00157,NADH,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00158,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
DB00159,Icosapent,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB00160,L-Alanine,C[C@H](N)C(O)=O
DB00161,L-Valine,CC(C)[C@H](N)C(O)=O
DB00162,Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00163,Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00165,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1
DB00167,Isoleucine,CC[C@H](C)[C@H](N)C(O)=O
DB00168,Aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
DB00169,Cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00170,Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O
DB00171,ATP,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB00172,Proline,OC(=O)[C@@H]1CCCN1
DB00173,Adenine,NC1=C2NC=NC2=NC=N1
DB00174,Asparagine,N[C@@H](CC(N)=O)C(O)=O
DB00175,Pravastatin,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB00176,Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00178,Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB00179,Masoprocol,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
DB00180,Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
DB00181,Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
DB00182,Amphetamine,CC(N)CC1=CC=CC=C1
DB00183,Pentagastrin,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
DB00184,Nicotine,CN1CCC[C@H]1C1=CN=CC=C1
DB00185,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186,Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00187,Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00189,Ethchlorvynol,CCC(O)(\C=C\Cl)C#C
DB00190,Carbidopa,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00191,Phentermine,CC(C)(N)CC1=CC=CC=C1
DB00192,Indecainide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB00193,Tramadol,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
DB00194,Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195,Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DB00196,Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB00197,Troglitazone,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB00198,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200,Hydroxocobalamin,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
DB00201,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DB00202,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,Sildenafil,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1
DB00204,Dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
DB00205,Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
DB00206,Reserpine,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DB00207,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208,Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
DB00209,Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
DB00210,Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00211,Midodrine,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
DB00212,Remikiren,[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1
DB00213,Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB00214,Torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
DB00215,Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00216,Eletriptan,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00217,Bethanidine,CN\C(NCC1=CC=CC=C1)=N/C
DB00218,Moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
DB00219,Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
DB00220,Nelfinavir,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
DB00221,Isoetarine,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00222,Glimepiride,[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1
DB00223,Diflorasone,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00224,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00226,Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
DB00228,Enflurane,FC(F)OC(F)(F)C(F)Cl
DB00229,Cefotiam,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
DB00230,Pregabalin,CC(C)C[C@H](CN)CC(O)=O
DB00231,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00232,Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
DB00233,Aminosalicylic Acid,NC1=CC(O)=C(C=C1)C(O)=O
DB00234,Reboxetine,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1
DB00235,Milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
DB00236,Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
DB00237,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
DB00239,Oxiconazole,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
DB00240,Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
DB00241,Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
DB00242,Cladribine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
DB00243,Ranolazine,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00244,Mesalazine,NC1=CC(C(O)=O)=C(O)C=C1
DB00245,Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
DB00246,Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB00247,Methysergide,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
DB00248,Cabergoline,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00249,Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
DB00250,Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
DB00251,Terconazole,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
DB00252,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00253,Medrysone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DB00254,Doxycycline,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
DB00255,Diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
DB00256,Lymecycline,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
DB00257,Clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00258,Calcium acetate,[Ca++].CC([O-])=O.CC([O-])=O
DB00259,Sulfanilamide,NC1=CC=C(C=C1)S(N)(=O)=O
DB00260,Cycloserine,N[C@@H]1CONC1=O
DB00261,Anagrelide,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
DB00263,Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
DB00264,Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00265,Crotamiton,CCN(C(=O)C=CC)C1=CC=CC=C1C
DB00266,Dicoumarol,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
DB00267,Cefmenoxime,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
DB00268,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00269,Chlorotrianisene,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
DB00270,Isradipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
DB00271,Diatrizoate,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
DB00272,Betazole,NCCC1=CC=NN1
DB00273,Topiramate,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
DB00274,Cefmetazole,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
DB00275,Olmesartan,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
DB00276,Amsacrine,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
DB00277,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O
DB00278,Argatroban,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
DB00279,Liothyronine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
DB00280,Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
DB00281,Lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
DB00282,Pamidronic acid,NCCC(O)(P(O)(O)=O)P(O)(O)=O
DB00283,Clemastine,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
DB00284,Acarbose,[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O
DB00285,Venlafaxine,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
DB00287,Travoprost,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
DB00288,Amcinonide,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB00289,Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
DB00290,Bleomycin,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C
DB00291,Chlorambucil,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
DB00292,Etomidate,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
DB00293,Raltitrexed,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
DB00294,Etonogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
DB00295,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
DB00296,Ropivacaine,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
DB00297,Bupivacaine,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
DB00298,Dapiprazole,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1
DB00299,Penciclovir,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
DB00300,Tenofovir disoproxil,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C
