celegans_bin,smiles,proteinName,protein_dataset
1,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,prot151,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot152,celegans
0,C[C@]12CC[C@@H](C[C@H]1CCC3C2CC[C@]4([C@@]3(CCC4C5=CC(=O)OC5)O)C)O,prot153,celegans
1,C1=CSC(=C1)C[C@@H](C(=O)O)N,prot154,celegans
1,CCCCCCCCCCCCCCCC(=O)O,prot156,celegans
0,C1=CN(C2=C1C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot157,celegans
1,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,prot1,celegans
0,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O,prot158,celegans
0,CC(C(=O)O)N,prot159,celegans
1,CC1=CC=CC2=C1C(=O)N(C2=O)C3=C(C=CC(=C3)C4=CC=CC=C4)O,prot160,celegans
0,C(C(C(C(=O)CO)O)O)O,prot161,celegans
1,C(C(CO)O)O,prot131,celegans
0,C1[C@H](CN[C@@H]1C(=O)O)O,prot163,celegans
0,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,prot164,celegans
0,C(CC(=O)C(=O)O)CC(=O)O,prot165,celegans
0,C1C(=O)NCC(=O)N1,prot140,celegans
0,CC(CC(=O)O)O,prot167,celegans
0,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,prot168,celegans
0,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCCC(C(=O)O)N)O)O,prot150,celegans
0,C(CN)C(C(=O)O)N,prot169,celegans
1,C(C(CO)O)O,prot170,celegans
0,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,prot171,celegans
0,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,prot172,celegans
1,C1CNCCC1C2=CC3=C(CCC(=O)N3C4=C(C=CC=C4Cl)Cl)C(=C2)C5=C(C=C(C=C5)F)F,prot25,celegans
0,CC(CC1=CC=C(C=C1)Cl)N,prot173,celegans
0,C1=CC=C(C=C1)CC(=O)NC(=O)N,prot174,celegans
0,C1=CC(=C(C=C1N)C(=O)O)O,prot173,celegans
1,CC(C)[C@@H](C(=O)N1CCCC1)N,prot139,celegans
1,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,prot1,celegans
0,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],prot175,celegans
1,C(CSSC[C@@H](C(=O)O)N)O,prot176,celegans
1,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,prot1,celegans
0,COC1=C(C=CC(=C1)C(C(=O)O)O)O,prot101,celegans
1,C(C(CO)O)O,prot160,celegans
0,CCCCCCCCCCCCO,prot177,celegans
1,CS(=O)(=O)C1=CC=CC(=C1)NC2=NC=CC(=N2)NC3=C(C=CC4=C3OCO4)Cl,prot178,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O,prot179,celegans
1,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O,prot180,celegans
0,C=C(CC(=O)O)C(=O)O,prot181,celegans
1,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,prot2,celegans
0,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,prot182,celegans
1,C1COCCO1,prot183,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O,prot20,celegans
0,CCCCCCCCCCCCCCCCCCCCCC(=O)O,prot184,celegans
0,CC(C(=O)O)C(CC(=O)O)(C(=O)O)O,prot185,celegans
0,CC(=O)NC1C(C(C(OC1O)CO)O)O,prot186,celegans
0,C1CCC(C1)(C(=O)O)N,prot187,celegans
1,C1COCCN1C2=CC(=CC=C2)NC3=NC=CC(=N3)NC4=C(C=CC5=C4OCO5)Cl,prot178,celegans
0,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,prot65,celegans
0,CC1(CCC=[N+]1[O-])C,prot188,celegans
1,C(CC(=O)O)C(=O)C(=O)O,prot189,celegans
0,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CN)O)O)O)N)NC(=O)C(CN)O)O,prot190,celegans
1,C1=CC(=CC=C1CC2=CC=C(C=C2)OP(=O)(O)O)OP(=O)(O)O,prot191,celegans
0,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,prot192,celegans
0,CC1=CN(C(=O)NC1=O)C2CCC(O2)CO,prot193,celegans
0,C(C(F)(F)F)O,prot194,celegans
1,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O,prot195,celegans
0,C(CCC(=O)O)CC(=O)O,prot196,celegans
0,C(CCO)CO,prot197,celegans
0,C(C(C(=O)O)O)(C(=O)O)O,prot35,celegans
0,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,prot198,celegans
1,C1C(=O)NS(=O)(=O)N1C2=CC=CC=C2,prot191,celegans
1,C([C@@H](C(=O)O)N)SO,prot201,celegans
1,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O,prot176,celegans
1,C1=CC(=CC=C1CCN)S(=O)(=O)F,prot139,celegans
0,C1CC(OC1)N2C=NC3=C2N=CN=C3N,prot202,celegans
0,COCCCCCCCCCCCC(=O)O,prot203,celegans
0,C(CCN)CC(=O)O,prot204,celegans
1,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,prot2,celegans
1,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,prot1,celegans
0,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl,prot205,celegans
0,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,prot206,celegans
0,CC(=O)NC1C(C(C(OC1O)CO)O)O,prot79,celegans
0,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,prot207,celegans
0,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCCC(C(=O)O)N)O)O,prot208,celegans
1,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,prot1,celegans
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,prot25,celegans
0,CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,prot209,celegans
1,C(C(CO)O)O,prot210,celegans
0,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,prot211,celegans
1,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,prot25,celegans
0,C(CCC(=O)O)CC(=O)O,prot212,celegans
1,C1=CC(=C(C(=C1)F)C2=CC=C(C=C2)C(=O)O)F,prot3,celegans
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,prot213,celegans
0,CC1CCC2(C3(CC4(C5(C(C(C3(C5(C2(C1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O,prot214,celegans
0,CC(C(=O)O)(Cl)Cl,prot215,celegans
0,C1=CC=C2C=NC=CC2=C1,prot216,celegans
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,prot172,celegans
0,C1CC(=O)NC1C(=O)O,prot217,celegans
0,C1=CC(=CC(=C1)N)C(=O)O,prot219,celegans
0,C1=CC(=CC=C1Cl)Cl,prot221,celegans
1,C(C(CO)O)O,prot222,celegans
0,CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=C(N=C3N)NCCC4=CC=C(C=C4)CCC(=O)O)O)O,prot223,celegans
0,CCCCCCCCO,prot224,celegans
0,CSCCC(C(=O)O)NC=O,prot225,celegans
0,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,prot226,celegans
0,COC1=CC=CC(=C1)C2=NC3=C(C=CC=C3N2)C(=O)N,prot227,celegans
1,CCCOC1=C2C(=CNC2=NC=C1)C3=NC(=NC=C3)N,prot25,celegans
0,CC(CC1=CC=CC=C1)N(C)CC#C,prot229,celegans
1,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,prot230,celegans
0,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C(=O)O)O)O,prot231,celegans
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,prot232,celegans
0,CCC(C)OC(=O)C,prot233,celegans
1,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,prot234,celegans
0,CC(=O)NC1=CC=CC=C1,prot235,celegans
1,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,prot236,celegans
1,CCCCN1C(=NC2=C1N=C(N=C2N)F)CC3=CC4=C(C=C3)OCO4,prot71,celegans
1,C(CSSC[C@@H](C(=O)O)N)O,prot83,celegans
0,CCC(C(=O)O)N,prot238,celegans
1,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,prot1,celegans
0,C1=CC(=CC=C1OCC(CO)O)Cl,prot240,celegans
1,C(C(CO)O)O,prot218,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot241,celegans
0,C(CN)C(C(=O)O)N,prot242,celegans
1,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,prot25,celegans
1,CC1=NN(C2=C1C(=O)C3=C(N2O)C=CC(=C3)Cl)C,prot25,celegans
1,C(CC(=O)O)C(=O)C(=O)O,prot243,celegans
0,CN(C)CC(=O)O,prot54,celegans
1,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,prot1,celegans
1,C1=C(C(=CC2=NC(=O)C(=O)N=C21)[N+](=O)[O-])[N+](=O)[O-],prot8,celegans
0,C1CCC(CC1)N,prot245,celegans
0,C(CCC(=O)N)CC(CCS)S,prot246,celegans
0,C(CN)CO,prot247,celegans
0,CC(C)NCCO,prot14,celegans
0,CCCCCCCO,prot250,celegans
1,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,prot170,celegans
1,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)Cl)F,prot234,celegans
1,C[C@H](CO)O,prot251,celegans
0,CCC(C)OC(=O)C,prot253,celegans
1,CC/C=C\C/C=C\C/C=C\C/C=C\C=C\[C@@H](CCCC(=O)O)O,prot15,celegans
1,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,prot25,celegans
0,CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,prot254,celegans
1,C(C(CO)O)O,prot255,celegans
0,CCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,prot256,celegans
1,C([C@@H](C(=O)O)N)SO,prot257,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot258,celegans
0,C1=CC(=CC(=C1)N)C(=O)O,prot181,celegans
1,CC(C)[C@@H](C(=O)O)N,prot259,celegans
1,C(C(CO)O)O,prot260,celegans
1,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,prot261,celegans
1,C1CC2=C(C1)N(C(=O)NC2=O)C[C@@H](C(=O)O)N,prot8,celegans
1,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,prot3,celegans
